,,,,,,,,,,,
00032,Open,40,37,ALGORITHMS [I],I,-,Theory,Wednesday,2:00 PM,4:00 PM,3115
00032,Open,40,37,ALGORITHMS [I],I,-,Lab,Monday,2:00 PM,5:00 PM,3202
00033,Cancel,40,0,ALGORITHMS [M],M,-,,,,,
00034,Open,40,38,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [A],A,-,Theory,Tuesday,10:00 AM,12:00 PM,3111
00034,Open,40,38,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [A],A,-,Lab,Sunday,8:00 AM,11:00 AM,3201
00035,Open,20,20,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [B1],B1,-,Theory,Tuesday,8:00 AM,10:00 AM,3119
00035,Open,20,20,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [B1],B1,-,Lab,Sunday,8:00 AM,11:00 AM,3201
00036,Open,20,19,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [B2],B2,-,Theory,Tuesday,8:00 AM,10:00 AM,3119
00036,Open,20,19,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [B2],B2,-,Lab,Sunday,11:00 AM,2:00 PM,3202
00037,Open,40,40,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [C],C,-,Theory,Tuesday,12:00 PM,2:00 PM,3112
00037,Open,40,40,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [C],C,-,Lab,Sunday,11:00 AM,2:00 PM,3202
00038,Open,40,40,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [D],D,-,Theory,Monday,8:00 AM,10:00 AM,3112
00038,Open,40,40,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [D],D,-,Lab,Wednesday,8:00 AM,11:00 AM,3202
00039,Open,20,18,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [E1],E1,-,Theory,Monday,10:00 AM,12:00 PM,3119
00039,Open,20,18,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM [E1],E1,-,Lab,Wednesday,8:00 AM,11:00 AM,3202
